"task_instructions", "Hardware PMU counter for number of instructions.", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_cycles", "Hardware PMU counter for number of cycles.", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_cache_misses", "Hardware counter for cache-misses.", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_cache_references", "Hardware counter for number of cache references.", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_stalled_mem_loads", "Mem stalled loads.", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_offcore_requests_outstanding_l3_miss_demand_data_rd", "Demand data read requests that missed L3.", "numeric", "counter",  "perf subsystem with cgroups", ""
"task_offcore_requests_l3_miss_demand_data_rd", "Increment each cycle of the number of offcore outstanding demand data read requests from SQ that missed L3.", "numeric", "counter",  "perf subsystem with cgroups", ""
"task_mem_load_retired_local_pmm", "mem_load_retired_local_pmm__rd180", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_mem_inst_retired_loads", "mem_load_retired_local_pmm__rd180", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_mem_inst_retired_stores", "TODO:", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_dtlb_load_misses", "TBD", "numeric", "counter",  "perf subsystem with cgroups", "cpu"
"task_scaling_factor_avg", "Perf subsystem metric scaling factor, max value of all perf per task metrics.", "numeric", "gauge",  "perf subsystem with cgroups", ""
"task_scaling_factor_max", "Perf subsystem metric scaling factor, max value of all perf per task metrics.", "numeric", "gauge",  "perf subsystem with cgroups", ""
"task_ips", "Instructions per second.", "numeric", "gauge",  "derived", ""
"task_ipc", "Instructions per cycle.", "numeric", "gauge",  "derived", ""
"task_cache_hit_ratio", "Cache hit ratio, based on cache-misses and cache-references.", "numeric", "gauge",  "derived", ""
"task_cache_misses_per_kilo_instructions", "Cache misses per kilo instructions.", "numeric", "gauge",  "derived", ""
"task_cpu_usage", "cpuacct.usage (total kernel and user space).", "numeric", "counter",  "cgroup", ""
"task_mem_usage_bytes", "Memory usage_in_bytes per tasks returned from cgroup memory subsystem.", "bytes", "gauge",  "cgroup", ""
"task_mem_max_usage_bytes", "Memory max_usage_in_bytes per tasks returned from cgroup memory subsystem.", "bytes", "gauge",  "cgroup", ""
"task_mem_limit_bytes", "Memory limit_in_bytes per tasks returned from cgroup memory subsystem.", "bytes", "gauge",  "cgroup", ""
"task_mem_soft_limit_bytes", "Memory soft_limit_in_bytes per tasks returned from cgroup memory subsystem.", "bytes", "gauge",  "cgroup", ""
"task_mem_numa_pages", "NUMA Stat TODO!", "numeric", "gauge",  "cgroup", "numa_node"
"task_mem_page_faults", "Number of page faults for task.", "numeric", "counter",  "cgroup", "numa_node"
"task_mem_bandwidth", "Total memory bandwidth using Memory Bandwidth Monitoring.", "bytes", "counter",  "resctrl", ""
"task_llc_occupancy", "LLC occupancy.", "bytes", "gauge",  "resctrl", ""
"task_mem_bandwidth_local", "Total local memory bandwidth using Memory Bandwidth Monitoring.", "bytes", "counter",  "resctrl", ""
"task_mem_bandwidth_remote", "Total remote memory bandwidth using Memory Bandwidth Monitoring.", "bytes", "counter",  "resctrl", ""
"task_wss_referenced_bytes", "Task referenced bytes during last measurements cycle based on /proc/smaps Referenced field, with /proc/PIDs/clear_refs set to 1 accordinn wss_reset_interval.Warning: this is intrusive collection, because can influence kernel page reclaim policy and add latency.Refer to https://github.com/brendangregg/wss#wsspl-referenced-page-flag for more details.", "bytes", "gauge",  "/procs/PIDS/smaps", ""
"task_cpus", "Tasks resources cpus initial requests.", "numeric", "gauge",  "generic", ""
"task_mem", "Tasks resources memory initial requests.", "numeric", "gauge",  "generic", ""
"task_last_seen", "Time the task was last seen.", "numeric", "counter",  "generic", ""
"platform_topology_cores", "Platform information about number of physical cores", "numeric", "gauge",  "internal", ""
"platform_topology_cpus", "Platform information about number of logical cpus", "numeric", "gauge",  "internal", ""
"platform_topology_sockets", "Platform information about number of sockets", "numeric", "gauge",  "internal", ""
"platform_cpu_usage", "Logical CPU usage in 1/USER_HZ (usually 10ms).\rCalculated using values based on /proc/stat.", "10ms", "counter",  "proc sys filesystems", "cpu"
